,comment_text,threat,blackmail
6,COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,0,1
42,"You are gay or antisemmitian? 

Archangel WHite Tiger

Meow! Greetingshhh!

Uh, there are two ways, why you do erased my comment about WW2, that holocaust was brutally slaying of Jews and not gays/Gypsys/Slavs/anyone...

1 - If you are anti-semitian, than shave your head bald and go to the skinhead meetings!

2 - If you doubt words of the Bible, that homosexuality is a deadly sin, make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals!

3 - First and last warning, you fucking gay - I won't appreciate if any more nazi shwain would write in my page! I don't wish to talk to you anymore!

Beware of the Dark Side!",0,1
43,"FUCK YOUR FILTHY MOTHER IN THE ASS, DRY!",0,1
55,Stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell!,0,1
56,#NAME?,0,1
65,"All of my edits are good.  Cunts like you who revert good edits because you're too stupid to understand how to write well , and then revert other edits just because you've decided to bear a playground grudge, are the problem.  Maybe one day you'll realise the damage you did to a noble project.  201.215.187.159",0,1
79,"Hi! I am back again!
Last warning!
Stop undoing my edits or die!",1,0
86,"Would you both shut up, you don't run wikipedia, especially a stupid kid.",0,1
105,A pair of jew-hating weiner nazi schmucks.,0,1
168,"You should be fired, you're a moronic wimp who is too lazy to do research. It makes me sick that people like you exist in this world.",0,1
176,I think that your a Fagget get a oife and burn in Hell I hate you 'm sorry we cant have any more sex i'm running out of conndoms,1,1
179,"REPLY ABOVE:
That was me, loser. The UN defines Vietnam to be part of Southeast Asia. And far as I know Vietnam is part of ASEAN, and used to be part of French Indochina with Laos and all those shit countries Anyway your culture has always been more influenced by SEA than Han Chinese (as in proper Yangtze Han Chinese, not the fringe indigenous tribes in Guangzhou/Guangxi). 

Just admit that you vietnamese are all a bunch of wannabe crap people. ALL the east asian people I've spoken to thinks of Vietnam as a very integral part of SEA, and we all think you're backward, dirty and speak in a horrible swearing language. Doesn't matter what crap you spout on Wikipedia, won't change the way people in the real world think.",0,1
181,"you are a stupid fuck 

and your mother's cunt stinks",0,1
211,"Fuck you, block me, you faggot pussy!",0,1
218,"Kill all niggers. 

I have hard, that others have said this.. should this be included? That racists sometimes say these.",0,1
231,"Burn Deck 

If that'd guy's burn deck is like what I think it is than he is in for a blrude awakening!!! Leviathan motherfucker!!!",0,1
238,u r a tw@ fuck off u gay boy.U r smelly.Fuck ur mum poopie,0,1
295,this user is such a worthless goddamn faggot fuck you faggot,0,1
312,"""

 Fuck you 

  Fuck you award go fuck yourself   """,0,1
318,"Keep your eye on it, no one cares, OK? People can put what they want on here, and clean it up all you want but no one cares. God, you're so freakin' stupid!   Omnigan",0,1
344,"Fuck you 

-User:The Bohemian Shinobis yeah, that's right, bitch! You are all pieces of shit!",0,1
392,"Dear Mokele,
You have no right to tell people to die in a fire. Just because that IP address is being used for vandilism does not mean you can talk to people like that. You are in fact a bigger loser than the person who you block.",0,1
