,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
527,01625cc84c6ef15b,"How do you know he is dead.  Its just his plane that crashed.  Jeezz, quit busting his nuts, folks.",0,0,1,0,0,0
1232,0350c82d1f207e0e,"Bleh. I'm all out of ideas. Is there really something wrong with the server or what? The damn thing won't work for me, either Helvetica_font_new.svg (my upload of Segoe UI was actually a PNG to begin with...)",0,0,1,0,0,0
1555,042e184200690387,"{{unblock|i said im sorry......how do u expect me to stop making accounts if u dont unblock me.....if u unblock me,ill stop making acounts...simple...........ur the ones who are making something bad to worse.....stop making a big deal...im not doing anything bad or violating anything now,so i dont get it,why am i still blocked....just get over it already.......i mean well.....im not here do violate anything.......im just trying to help.......and can someone tell alexandria to unblockme already......this block is so fucking overrated.....cant u just forgive and forget.....move on people....there are other things to worry about than a stupid block...so unblock me and MOVE ON........again,i come in peace......and i have a right to contribute to wikipedia.....what happend in the past happend....the past is in the past.....now were the present......lets open a new page and start a new chapter.....star fresh..ok..deal..??.......i promise i wont violate anything.....all im asking is another chance......one last chance.....",0,0,1,0,0,0
1697,049aa7969ccd93ff,"""

As for the arguements that abo should be included .. it already is. Wanker is used alot, but only as a common noun, and the usuage isn't unique. Same for the other words mentioned.

Though other commonwealth countries (such as new zealand) may use cunt in a similar fashion, Australians do seem to use it more. However, this arguement is irrelevent since many """"Australian"""" words such as """"mate, bloke"""" etc are used extensively in NZ, and the UK, though are still in the article.
R0m""",0,0,1,0,0,0
1888,051ef2d095a230cd,I wish to restate the AN thread as neutral and inviting community discussion. I realize that I went to far by characterizing IH as a dick. I apologize. 140.247.141.165,0,0,1,0,0,0
2593,06f0b97018548ab9,"jd2718 the sock fiend 

now hes lying out his ass on the ani page but I can't comment. and no im not this m1rth person, im just me.",0,0,1,0,0,0
3056,08429185c204220e,Ram it up ur ass very hard till ur eyes water,0,0,1,0,0,0
3610,09adcc22a0101c87,"You might try to deflate your ego a bit and stop making blanket generalizations.  The IP I use is a proxy for a university of 20,000 people, plenty of other editors (yes, Macedonians too) who use it. Sometimes I just don't notice I was logged out. Does that satisfy your sensibilities? I haven't called anyone peasant or fuck off, that is your overactive imagination playing tricks on you again.    
 As for the statement, I am simply presenting the fact that it is much more informative and encyclopedic to say the 'Macedonian National Liberation Army' liberated the city, as they were the only 'communist partisans' operating in Macedonia at that time, which you could have realized yourself by reading the article on MNLA.",0,0,1,0,0,0
4111,0af917a314be5d46,"""

 Ahem, wtf are u talking about sire? I do not practice """"vandalism"""".""",0,0,1,0,0,0
4449,0bd6ce0e0bbafd9e,"""

Yes, the money quote is that I'm fucking pissed off at the insistence of Richard James continually harrassing me, refusing to stop identifying my personal info. (as with posting my personal email above with website). I have vandalized nothing but to take a letter or two off of my personal name and words that lead to my personal info. in the slanderous and libelous and defaming posts of richard james. I don't give a shit that my project is not listed here. I found the whole process interesting and hilarious, though quite hypocritical. WHo can take the piss out of who here. THe article was about an art project, not me. I don't care that it's not there. It doesn't exist, nor does Bigfoot! His compromise was on day two of the original posting of the project article, a one man band who decides fist down who gets what and when, like a fascist pig. I could have campaigned for votes, but what the fuck...Before final vote and deletion, Richard James posted an article about me without my desire nor consent, and then deleted it in a violent fit of rage when I jokingly said the first article is dead at another's insistence that it should be deleted then at seven days. He's had the same hard-on ever since. As I said, I don't give a shit but that his posts are defaming, slanderous, libelous and outright insidious. His high and mighty accusational tone is what is weird and strange. All I have done in the past two days is to delete letters of my name and project, and the old username that I was attempting to expunge. Why?

""""Such posting can cause offence or embarrassment to the victim of the posting, not least because it means that their name, and any personal criticism or allegations made against them can then appear on web searches. If you have posted such information, please remove it immediately. Please then follow the link to this page and inform people there that the information was posted (but crucially, do not repost it on that page). An admin or developer can then remove the information from the archives of Wikipedia.""""

""""Wikipedia operates on the principle that every contributor has a right if they wish to remain completely anonymous. Wikipedia policy on that issue is strictly enforced. Posting private information about a user, specifically their (alleged) name and/or personal details, is strictly prohibited as harassment, and users who do that are often immediately blocked from editing Wikipedia."""" How is it vandalism to attempt to remain anonymous?! and to attempt to separate personal and professional reputation from libelous attacks?""",0,0,1,0,0,0
4584,0c2b0d517e954dfa,"SchtippDick 

You. You boy. Youuuuuu. Terisoaio! Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah.",0,0,1,0,0,0
4594,0c31b95015167c1d,"I refer to people's constantly taking the words of Jimbo as policy, the idea of removing any userbox with a political point of view is his point of view.  That's at the core of this problem, you did not notice that an admin skipped over the tfd process and speedied something when there is no rule explicitly against having an opinion in a userbox?  Rather, there is Jimbo saying there shouldn't be any.  I completely understand that he started this, but he is not owner of it, a foundation was set up, perhaps you've heard of it - the Wikimedia Foundation.  I didn't say you had that same point of view, I'm saying that I was just telling the people who do to fuck off.  I made no attack on any editor, that you perceive it as such is truly sad, but such is life.  Perhaps with time you will learn the intricacies of the language.  If one does not want personal pages on a site, one should avail oneself to modify the source code in order to remove them from the site rather than complain that they're being used.  People who overstep the proper bound of their position should die, that I have encountered multiple administrators so far doing so does lead to the desire to fuck off, but I'm not done here.",0,0,1,0,0,0
4699,0c75a0479e5791fc,"Death?!?!

What utter twat said that she died on June 3rd 2008?!?!?!",0,0,1,0,0,0
6346,10f766c8502731a0,"RIAA Certifications 

Someone got that shit fucked up big, do a little research before changing the page.

http://www.riaa.com/gp/database/default.asp

Type in the artist and it says there...

PITATPOR=Gold
TLET-Platinum
MM-Platinum
BRL-Platinum
TLM-Gold",0,0,1,0,0,0
6611,11a0bd53da52af5a,"(UTC)

You never been on the damn bus,     Tlk | E-M  01:28:42, 2005-09-09",0,0,1,0,0,0
6782,12121bbe729bbf7e,"""Regarding """"personal attacks"""", I took out the disclaimer (that I had put in). I first considered copying it over to the Wikipedia Review link, as this is the same site the disclaimer referred to, but then I realized, no, that's insane! What, now we're warning people that there might be bad language and not-nice things said on a website? What the fuck? That's like warning people before reading a newspaper that there might be articles that would be """"a bummer, man; might bring you down all day"""". What is this world turning into, Disneyland, where every protruding thing that could possibly hurt you is covered in nice soft padding? Sheesh! == 

""",0,0,1,0,0,0
7661,14603e308f5970a7,"""
 Definitely have better things to do than read all that rules crap....  If I can't write it I can't write it no big whoop, it's not that important       talk #c """,0,0,1,0,0,0
